Brand,Model,Transmission,Fuel type,Year of Manufacture,Median_Price
Nissan,Patrol,Automatic,Diesel,2013,32250000.0
Nissan,Patrol,Automatic,Diesel,2014,43499885.3
Nissan,Patrol,Automatic,Diesel,2015,41794930.59
Nissan,Tiida,Automatic,Petrol,2008,5612500.0
Nissan,Tiida,Automatic,Petrol,2009,6289998.07
Nissan,Tiida,Automatic,Petrol,2010,6289998.07
Nissan,Tiida,Automatic,Petrol,2011,6289998.07
Nissan,Tiida,Automatic,Petrol,2012,6749985.86
Nissan,Tiida,Automatic,Petrol,2013,6749985.86
Nissan,Wingroad,Automatic,Petrol,2001,3832500.0
Nissan,Wingroad,Automatic,Petrol,2002,3832534.75
Nissan,Wingroad,Automatic,Petrol,2003,3832534.75
Nissan,Wingroad,Automatic,Petrol,2004,5789982.76
Nissan,Wingroad,Automatic,Petrol,2005,5789982.76
Nissan,Wingroad,Automatic,Petrol,2006,5789982.76
Nissan,Wingroad,Automatic,Petrol,2007,5799982.49
Nissan,X-Trail,Automatic,Petrol,2003,6500000.0
Nissan,X-Trail,Automatic,Petrol,2004,6500279.04
Nissan,X-Trail,Automatic,Petrol,2005,6500279.04
Nissan,X-Trail,Automatic,Petrol,2006,7675193.38
Nissan,X-Trail,Automatic,Petrol,2007,7675000.0
Nissan,X-Trail,Automatic,Petrol,2008,7675193.38
Nissan,X-Trail,Automatic,Petrol,2009,7675193.38
Nissan,X-Trail,Automatic,Petrol,2010,7675193.38
Nissan,X-Trail,Automatic,Petrol,2011,10500106.77
Nissan,X-Trail,Automatic,Petrol,2012,10500106.77
Nissan,X-Trail,Automatic,Petrol,2013,10500000.0
Nissan,X-Trail,Automatic,Petrol,2014,10500106.77
Nissan,X-Trail,Automatic,Petrol,2015,12000000.0
Nissan,X-Trail,Automatic,Petrol,2016,12199943.96
Nissan,X-Trail,Automatic,Petrol,2017,18499872.79
Nissan,X-Trail,Automatic,Petrol,2018,18499872.79
Nissan,X-Trail,Automatic,Petrol,2019,18499872.79
Nissan,X-Trail,Automatic,Petrol,2020,18499872.79
Nissan,X-Trail,Automatic,Petrol,2021,18499872.79
Nissan,X-Trail,Automatic,Petrol,2022,29999572.65
Nissan,X-Trail,Automatic,Petrol,2023,29999572.65
Nissan,X-Trail,Automatic,Petrol,2024,29999572.65
Nissan,X-Trail,Automatic,Petrol,2025,29999572.65
Suzuki,Alto,Automatic,Hybrid,2023,7475000.0
Suzuki,Alto,Automatic,Hybrid,2024,7850000.0
Suzuki,Alto,Automatic,Hybrid,2025,8424986.5
Suzuki,Alto,Automatic,Petrol,2004,3500000.0
Suzuki,Alto,Automatic,Petrol,2005,3500056.06
Suzuki,Alto,Automatic,Petrol,2006,3500056.06
Suzuki,Alto,Automatic,Petrol,2007,3850046.76
Suzuki,Alto,Automatic,Petrol,2008,3850000.0
Suzuki,Alto,Automatic,Petrol,2009,3850046.76
Suzuki,Alto,Automatic,Petrol,2010,3850046.76
Suzuki,Alto,Automatic,Petrol,2011,3850046.76
Suzuki,Alto,Automatic,Petrol,2012,5649988.47
Suzuki,Alto,Automatic,Petrol,2013,5649988.47
Suzuki,Alto,Automatic,Petrol,2014,5649988.47
Suzuki,Alto,Automatic,Petrol,2015,5649988.47
Suzuki,Alto,Automatic,Petrol,2016,5485000.0
Suzuki,Alto,Automatic,Petrol,2017,5499987.69
Suzuki,Alto,Automatic,Petrol,2018,5499987.69
Suzuki,Alto,Automatic,Petrol,2019,5499987.69
Suzuki,Alto,Automatic,Petrol,2020,5499987.69
Suzuki,Alto,Automatic,Petrol,2021,7249922.65
Suzuki,Alto,Automatic,Petrol,2022,7249922.65
Suzuki,Alto,Automatic,Petrol,2023,7249922.65
Suzuki,Alto,Automatic,Petrol,2024,7149974.72
Suzuki,Alto,Automatic,Petrol,2025,6499994.58
Suzuki,Alto,Manual,Petrol,2000,2000000.0
Suzuki,Alto,Manual,Petrol,2001,2000030.41
Suzuki,Alto,Manual,Petrol,2002,2000030.41
Suzuki,Alto,Manual,Petrol,2003,2749991.38
